Toilette complète dans bain / douche ou lavabo;Hygiène - Confort;10102;C;40;"accompagner ou transférer (fauteuil roulant) le client à la salle de bain
 déshabiller le client
 faire entrer le client dans la douche ou l’installer devant le lavabo
 laver le client
 faire sortir le client de la douche
 sécher le client
 soigner sa peau, appliquer une lotion
 habiller et peigner / coiffer le client
 transférer le client hors de la salle de bain
 nettoyer la douche ou le lavabo";let. c ch. 1;1
Toilette complète au lit;Hygiène - Confort;10101;C;40;"préparer le lit et déshabiller le client
 laver le client et le sécher
 appliquer une lotion protectrice de la peau au besoin
 habiller le client
 peigner / brosser les cheveux
 refaire le lit (changer la literie si nécessaire)
 réinstaller le client dans son lit";let. c ch. 1;1
Toilette intime au lit ou au lavabo;Hygiène - Confort;10105;C;15;"protéger le lit et les habits / chemise de nuit
 enlever les protections (urinal, couches, etc.)
 faire la toilette intime
 soigner la peau, appliquer une lotion au besoin
 remettre les moyens de protection
 rhabiller les parties intimes et réinstaller le client confortablement
 changer la literie (au besoin)";let. c ch. 1;1
Toilette partielle au lavabo (y.c. toilette intime);Hygiène - Confort;10104;C;26;"aider le client à s’installer devant le lavabo
 laver les parties du corps choisies et les sécher
 toilette intime
 soigner sa peau, appliquer une lotion au besoin
 peigner / coiffer le client
 le rhabiller
 l’accompagner hors de la salle de bain et le réinstaller confortablement";let. c ch. 1;1
Toilette partielle au lit (y.c. toilette intime);Hygiène - Confort;10103;C;20;"préparer le lit et déshabiller le client
 laver les parties du corps choisies et les sécher
 toilette intime
 soigner sa peau, appliquer une lotion au besoin
 habiller le client
 peigner / coiffer le client
 refaire le lit (changer la literie si nécessaire)";let. c ch. 1;1
Contrôle de santé (paramètres vitaux);Mesures - Diagnostics;10801;B;5;"cet acte est à utiliser uniquement en association avec d’autres actes !
 évaluer l’état général du client
 mesurer, juger et documenter les paramètres vitaux (pression sanguine, pouls, respiration)";let. b ch. 1;1
Contrôle du poids;Mesures - Diagnostics;10806;B;5;"peser le client, si possible au même moment de la journée et avec les mêmes habits
 documenter les œdèmes";let. b ch. 1;1
Contrôle du pouls;Mesures - Diagnostics;10803;B;5;contrôler le pouls et documenter le résultat de la mesure;let. b ch. 1;1
Culture d’urine;Mesures - Diagnostics;10812;B;10;"préparation du matériel et de l’étiquetage
 récolter la quantité d’urine nécessaire selon les instructions
 effectuer le test de glucose (au besoin)
 s’assurer de la transmission de l’échantillon d’urine (au besoin)";let. b ch. 2;1
Observation / contrôle de la respiration;Mesures - Diagnostics;10804;B;5;"compter les mouvements respiratoires par unité de temps, évaluer les
 caractéristiques de la respiration (fréquence, amplitude, bruits respiratoires) et documenter";let. b ch. 1;1
Prise de la température;Mesures - Diagnostics;10805;B;5;mesurer la température corporelle et documenter le résultat de la mesure;let. b ch. 1;1
Ponction capillaire pour contrôle de la glycémie;Mesures - Diagnostics;10808;B;10;"mettre des gants
 préparer et effectuer la prise de sang capillaire
 faire fonctionner le glycomètre selon les indications, ou s’assurer de la
 transmission correcte de l’échantillon de sang
 documenter le résultat";let. b ch. 2;1
Ponction veineuse;Mesures - Diagnostics;10809;B;15;"consulter la fiche du laboratoire
 préparer le matériel de ponction et d’étiquetage
 mettre des gants
 effectuer la ponction
 prélever la quantité de sang nécessaire
 s’assurer de la transmission correcte de l’échantillon de sang";let. b ch. 3;1
